total_extension_nm,DNA_extension_avg_nm,force_avg_pN,force_sd_pN,average_bp_unzipped_avg,bp_unzipped_sd
209,208.484,0.0382342,0,0.0840096,0.28771
210,209.482,0.0383775,1.07896e-05,0.0840183,0.287722
211,210.48,0.0385211,nan,0.0840096,0.28771
212,211.478,0.0386664,0,0.0840096,0.28771
213,212.476,0.0388117,nan,0.0840096,0.28771
214,213.474,0.0389569,1.07896e-05,0.084009,0.287708
215,214.472,0.0391057,nan,0.0840274,0.287737
216,215.47,0.0392512,1.86881e-05,0.0840089,0.287708
217,216.468,0.0394002,1.52588e-05,0.084009,0.287708
218,217.466,0.0395493,nan,0.0840089,0.287708
219,218.464,0.0397018,0,0.0840185,0.287724
220,219.462,0.039851,1.86881e-05,0.0840088,0.287708
221,220.46,0.0400037,2.15792e-05,0.0840089,0.287708
222,221.458,0.0401565,1.52588e-05,0.0840088,0.287708
223,222.456,0.0403128,nan,0.0840185,0.287724
224,223.454,0.0404657,2.41263e-05,0.0840089,0.287708
225,224.451,0.0406221,1.07896e-05,0.0840094,0.28771
226,225.449,0.0407786,1.07896e-05,0.0840093,0.28771
227,226.447,0.0409351,nan,0.0840088,0.287708
228,227.445,0.0410952,0,0.0840098,0.287711
229,228.443,0.0412551,2.15792e-05,0.0840267,0.287735
230,229.441,0.0414153,nan,0.0840267,0.287735
231,230.439,0.0415758,nan,0.0840097,0.287711
232,231.436,0.041736,1.52588e-05,0.0840087,0.287707
233,232.434,0.0418999,1.52588e-05,0.0840087,0.287708
234,233.432,0.0420638,1.52588e-05,0.0840087,0.287708
235,234.43,0.0422295,nan,0.0840176,0.287721
236,235.428,0.0423954,1.86881e-05,0.0840091,0.287709
237,236.425,0.042563,nan,0.0840096,0.287711
238,237.423,0.0427307,0,0.0840095,0.287711
239,238.421,0.0428983,1.86881e-05,0.0840086,0.287707
240,239.418,0.0430696,2.85466e-05,0.0840095,0.287711
241,240.416,0.0432409,2.41263e-05,0.0840177,0.287722
242,241.414,0.0434124,1.52588e-05,0.0840094,0.28771
243,242.412,0.0435837,1.86881e-05,0.0840085,0.287707
244,243.409,0.0437588,0,0.0840085,0.287708
245,244.407,0.0439339,0,0.0840089,0.287709
246,245.404,0.044109,1.52588e-05,0.0840084,0.287707
247,246.402,0.0442878,0,0.0840093,0.28771
248,247.4,0.0444665,2.15792e-05,0.0840174,0.287722
249,248.397,0.0446455,2.15792e-05,0.0840093,0.28771
250,249.395,0.0448243,nan,0.0840084,0.287707
251,250.392,0.0450068,0,0.0840092,0.28771
252,251.39,0.0451893,nan,0.0840092,0.28771
253,252.387,0.0453719,0,0.0840083,0.287707
254,253.385,0.0455581,nan,0.0840092,0.28771
255,254.382,0.0457444,nan,0.0840091,0.28771
256,255.38,0.0459307,2.6429e-05,0.0840091,0.28771
257,256.377,0.0461204,2.15792e-05,0.0840251,0.287733
258,257.375,0.0463069,2.15792e-05,0.0840082,0.287707
259,258.372,0.0465003,2.6429e-05,0.0840251,0.287733
260,259.37,0.0466906,2.6429e-05,0.084009,0.28771
261,260.367,0.0468843,nan,0.084009,0.28771
262,261.364,0.0470781,nan,0.084009,0.28771
263,262.362,0.0472718,1.52588e-05,0.0840081,0.287707
264,263.359,0.0474692,1.52588e-05,0.0840089,0.28771
265,264.356,0.0476667,1.52588e-05,0.084008,0.287707
266,265.354,0.0478675,1.52588e-05,0.0840247,0.287732
267,266.351,0.0480653,2.15792e-05,0.084008,0.287707
268,267.348,0.0482664,2.15792e-05,0.084008,0.287707
269,268.346,0.048471,0,0.0840244,0.287732
270,269.343,0.0486759,0,0.0840245,0.287732
271,270.34,0.0488808,2.15792e-05,0.0840243,0.287732
272,271.337,0.049086,nan,0.0840078,0.287706
273,272.334,0.0492946,1.52588e-05,0.0840087,0.287709
274,273.332,0.0495032,0,0.0840078,0.287706
275,274.329,0.0497153,2.15792e-05,0.084024,0.287731
276,275.326,0.0499276,0,0.0840241,0.287732
277,276.323,0.0501399,1.52588e-05,0.0840241,0.287731
278,277.32,0.0503526,2.15792e-05,0.0840077,0.287706
279,278.317,0.0505687,2.15792e-05,0.0840077,0.287706
280,279.314,0.0507881,0,0.0840237,0.287731
281,280.311,0.0510079,0,0.0840237,0.287731
