total_extension_nm,DNA_extension_avg_nm,force_avg_pN,force_sd_pN,average_bp_unzipped_avg,bp_unzipped_sd
3308,3099.36,15.4522,0.0617632,2494.57,4.12311
3309,3100.11,15.4705,0.0640673,2494.63,4.47214
3310,3100.86,15.4889,0.067092,2494.68,3.60555
3311,3101.61,15.5072,0.069439,2494.73,4.12311
3312,3102.37,15.5253,0.0713893,2494.8,4
3313,3103.12,15.5436,0.075341,2494.87,3.937
3314,3103.88,15.5611,0.0800543,2494.97,4.84768
3315,3104.65,15.5788,0.0855817,2495.07,3.87298
3316,3105.41,15.5966,0.0915264,2495.17,4.84768
3317,3106.17,15.6137,0.0971864,2495.3,5.43139
3318,3106.94,15.6307,0.104961,2495.43,6.20484
3319,3107.72,15.6476,0.11213,2495.58,6
3320,3108.5,15.6639,0.12122,2495.76,7
3321,3109.29,15.6796,0.131948,2495.98,7.2111
3322,3110.08,15.6951,0.141921,2496.2,8.24621
3323,3110.89,15.7091,0.154433,2496.52,8.33667
3324,3111.7,15.7226,0.168196,2496.85,9.38083
3325,3112.54,15.7348,0.183427,2497.27,9.92472
3326,3113.4,15.7453,0.200479,2497.78,10.9772
3327,3114.28,15.7539,0.219829,2498.39,12.3895
3328,3115.18,15.7617,0.239176,2499.05,12.9615
3329,3116.12,15.766,0.260638,2499.9,14.4568
3330,3117.11,15.7663,0.284433,2500.97,15.7321
3331,3118.13,15.7652,0.307256,2502.11,16.9411
3332,3119.14,15.7645,0.328497,2503.23,18.2071
3333,3120.29,15.753,0.355383,2504.94,19.5192
3334,3121.5,15.7377,0.381635,2506.86,20.9881
3335,3122.76,15.7188,0.405103,2508.97,22.1246
3336,3124.05,15.6967,0.425207,2511.25,23.3452
3337,3125.37,15.6735,0.441562,2513.59,24.0416
3338,3126.79,15.6422,0.456497,2516.36,24.7891
3339,3128.23,15.6099,0.465549,2519.18,25.318
3340,3129.7,15.5751,0.468717,2522.12,25.5539
3341,3131.12,15.5434,0.46694,2524.89,25.3377
3342,3132.57,15.5103,0.459146,2527.73,25.01
3343,3134.04,15.4758,0.445758,2530.63,24.1971
3344,3135.36,15.4518,0.430787,2532.97,23.3131
3345,3136.74,15.4234,0.408292,2535.53,21.9773
3346,3137.97,15.4069,0.388137,2537.45,21.0594
3347,3139.18,15.3912,0.364623,2539.32,19.7484
3348,3140.32,15.3809,0.340517,2540.9,18.4526
3349,3141.41,15.3739,0.317201,2542.3,17.0587
3350,3142.47,15.3696,0.2925,2543.54,15.8114
3351,3143.47,15.3696,0.271084,2544.56,14.7309
3352,3144.44,15.3716,0.250427,2545.46,13.4536
3353,3145.39,15.3756,0.230866,2546.27,12.4298
3354,3146.3,15.3825,0.214808,2546.91,11.6404
3355,3147.18,15.3915,0.201806,2547.45,10.8628
3356,3148.05,15.4006,0.187296,2547.98,10.0499
3357,3148.9,15.4116,0.179348,2548.41,9.74679
3358,3149.75,15.4227,0.17018,2548.83,9.21954
3359,3150.59,15.435,0.16582,2549.2,9.27362
3360,3151.42,15.4474,0.160964,2549.56,9.16515
3361,3152.25,15.4602,0.158287,2549.9,8.74643
3362,3153.06,15.474,0.155565,2550.18,8.63134
3363,3153.88,15.4872,0.156201,2550.5,8.83176
3364,3154.72,15.4995,0.158721,2550.87,8.94427
3365,3155.54,15.5126,0.161626,2551.21,8.88819
3366,3156.38,15.5244,0.166463,2551.61,9.51315
3367,3157.21,15.5371,0.171208,2551.97,9.66954
3368,3158.05,15.5486,0.176561,2552.39,9.61769
3369,3158.91,15.5594,0.184506,2552.85,10.583
3370,3159.76,15.5706,0.189161,2553.3,10.6301
3371,3160.62,15.5807,0.195975,2553.8,11.0454
3372,3161.51,15.589,0.204099,2554.4,11.4673
3373,3162.38,15.5985,0.210503,2554.94,11.6619
3374,3163.26,15.6073,0.217491,2555.51,12.227
3375,3164.14,15.6165,0.222793,2556.06,12.4097
3376,3165.08,15.6206,0.231624,2556.9,12.8647
3377,3166.03,15.6246,0.239622,2557.74,13.1719
3378,3166.93,15.6315,0.245349,2558.42,13.5831
3379,3167.85,15.6375,0.25064,2559.15,13.7659
3380,3168.82,15.6398,0.255852,2560.08,14.0357
3381,3169.79,15.6425,0.26093,2560.98,14.5086
3382,3170.76,15.6442,0.265826,2561.94,14.6458
3383,3171.73,15.6467,0.26956,2562.86,14.7139
3384,3172.74,15.6462,0.271983,2563.94,15.248
3385,3173.72,15.6474,0.274245,2564.93,15
3386,3174.7,15.6491,0.275384,2565.88,15
3387,3175.7,15.6492,0.275467,2566.93,15.0665
3388,3176.67,15.6508,0.27591,2567.89,15.2151
3389,3177.69,15.6498,0.273075,2568.98,15.0333
3390,3178.67,15.6509,0.27173,2569.97,14.6799
3391,3179.63,15.6543,0.270943,2570.83,14.9332
3392,3180.64,15.6537,0.2672,2571.91,14.5774
3393,3181.59,15.6572,0.264762,2572.76,14.3527
3394,3182.54,15.6608,0.262039,2573.6,14.4049
3395,3183.52,15.6626,0.25799,2574.55,14.1067
3396,3184.48,15.665,0.253244,2575.46,13.8203
3397,3185.43,15.6692,0.249358,2576.26,13.7295
3398,3186.36,15.6743,0.246929,2577.03,13.3791
3399,3187.3,15.6785,0.244726,2577.85,13.5277
3400,3188.23,15.6835,0.24335,2578.62,13.5093
3401,3189.17,15.6884,0.242376,2579.4,13.3041
3402,3190.1,15.6931,0.242313,2580.19,13.2853
3403,3191.06,15.6966,0.243789,2581.05,13.4722
