total_extension_nm,DNA_extension_avg_nm,force_avg_pN,force_sd_pN,average_bp_unzipped_avg,bp_unzipped_sd
5927,5567.17,26.6491,0,4559.94,1.41421
5928,5567.86,26.672,nan,4559.94,0
5929,5568.56,26.6944,0.0110485,4559.94,0
5930,5569.26,26.7167,0,4559.94,nan
5931,5569.95,26.7397,0,4559.94,0
5932,5570.64,26.762,0.0078125,4559.94,0
5933,5571.33,26.785,0.0078125,4559.94,0
5934,5572.03,26.8073,0.0078125,4559.94,0
5935,5572.72,26.8303,0.0110485,4559.94,nan
5936,5573.42,26.8526,0.0110485,4559.94,0
5937,5574.11,26.8755,0.0078125,4559.94,0
5938,5574.8,26.8985,0.0110485,4559.94,nan
5939,5575.5,26.9208,0.0078125,4559.94,0
5940,5576.19,26.9436,0,4559.94,nan
5941,5576.88,26.9665,0.0110485,4559.94,2.44949
5942,5577.57,26.9895,0.0078125,4559.94,1.41421
5943,5578.26,27.0125,0,4559.94,nan
5944,5578.96,27.0347,0,4559.94,1.41421
5945,5579.65,27.0576,0.0078125,4559.94,1.41421
5946,5580.34,27.0805,0,4559.94,nan
5947,5581.03,27.1034,0.0078125,4559.94,0
5948,5581.73,27.1263,0,4559.94,1.41421
5949,5582.42,27.1491,0.0078125,4559.94,1.41421
5950,5583.11,27.172,0,4559.95,nan
5951,5583.8,27.1951,0.0110485,4559.95,1.41421
5952,5584.48,27.2183,0.0078125,4559.94,nan
5953,5585.17,27.2412,nan,4559.94,1.41421
5954,5585.87,27.2641,0.0078125,4559.94,nan
5955,5586.56,27.2868,0.0078125,4559.95,nan
5956,5587.24,27.3103,0,4559.94,1.41421
5957,5587.93,27.3332,0.0078125,4559.94,1.41421
5958,5588.62,27.356,0.0110485,4559.95,1.41421
5959,5589.31,27.3795,0.0078125,4559.94,1.41421
5960,5590,27.4022,0,4559.95,nan
5961,5590.68,27.4257,0,4559.94,0
5962,5591.38,27.4485,0.0078125,4559.95,nan
5963,5592.06,27.472,0.0078125,4559.94,1.41421
5964,5592.75,27.4947,0,4559.95,0
5965,5593.44,27.5181,0.0078125,4559.95,0
5966,5594.13,27.541,0.0078125,4559.95,1.41421
5967,5594.81,27.5643,0.0078125,4559.95,nan
5968,5595.5,27.5877,0.0078125,4559.95,0
5969,5596.18,27.6111,0,4559.95,2
5970,5596.87,27.6339,0.0110485,4559.95,0
5971,5597.56,27.6573,0,4559.95,1.41421
5972,5598.24,27.6807,0.0110485,4559.95,1.41421
5973,5598.92,27.704,0,4559.95,1.41421
5974,5599.61,27.7274,0,4559.95,nan
5975,5600.29,27.7508,0.0078125,4559.95,1.41421
5976,5600.98,27.7741,0,4559.95,0
5977,5601.66,27.7975,0,4559.95,0
5978,5602.35,27.8209,nan,4559.95,nan
5979,5603.03,27.8442,0,4559.95,0
5980,5603.72,27.8676,0,4559.95,2
5981,5604.4,27.8908,0,4559.96,0
5982,5605.09,27.9142,0.0078125,4559.96,nan
5983,5605.76,27.9382,0,4559.95,0
5984,5606.45,27.9615,0.0078125,4559.95,nan
5985,5607.13,27.9848,nan,4559.96,2
5986,5607.82,28.0081,0.0110485,4559.96,1.41421
5987,5608.5,28.032,nan,4559.96,0
5988,5609.18,28.0553,nan,4559.96,0
5989,5609.86,28.0792,0,4559.96,nan
5990,5610.54,28.1025,0.0078125,4559.96,nan
5991,5611.22,28.1264,0,4559.96,1.41421
5992,5611.91,28.1497,0,4559.96,nan
5993,5612.58,28.1736,0.0110485,4559.96,nan
5994,5613.27,28.197,0,4559.96,1.41421
5995,5613.95,28.2208,0.0110485,4559.96,1.41421
5996,5614.62,28.2446,0,4559.96,1.41421
5997,5615.31,28.2679,0.0078125,4559.96,0
5998,5615.99,28.2918,0.0110485,4559.96,0
