total_extension_nm,DNA_extension_avg_nm,force_avg_pN,force_sd_pN,average_bp_unzipped_avg,bp_unzipped_sd
3526,3313.68,15.7245,0.170985,2708.16,9.53939
3527,3314.53,15.7357,0.171119,2708.58,9.74679
3528,3315.37,15.7477,0.170449,2708.95,9.69536
3529,3316.22,15.7588,0.170449,2709.37,9.59166
3530,3317.06,15.7701,0.168694,2709.78,9.40744
3531,3317.89,15.7831,0.16806,2710.1,9.35414
3532,3318.75,15.7936,0.166829,2710.55,9.11043
3533,3319.57,15.8067,0.16724,2710.86,9.46044
3534,3320.42,15.8178,0.164434,2711.28,8.97218
3535,3321.27,15.829,0.165129,2711.7,9.08295
3536,3322.08,15.8429,0.163923,2711.97,8.86002
3537,3322.93,15.8537,0.163504,2712.4,9.21954
3538,3323.78,15.8655,0.162708,2712.79,9
3539,3324.58,15.8797,0.159918,2713.04,8.77496
3540,3325.43,15.8912,0.160251,2713.45,8.66025
3541,3326.26,15.9038,0.158817,2713.78,8.66025
3542,3327.1,15.9158,0.157805,2714.16,9.05539
3543,3327.92,15.9288,0.156348,2714.49,8.33667
3544,3328.74,15.9424,0.155221,2714.77,8.45577
3545,3329.56,15.9552,0.153988,2715.1,8.48528
3546,3330.37,15.9693,0.153342,2715.37,8.60233
3547,3331.21,15.9812,0.151792,2715.75,8.12404
3548,3332.02,15.9957,0.150479,2715.99,8.74643
3549,3332.84,16.0087,0.148848,2716.32,7.96869
3550,3333.66,16.0225,0.147923,2716.6,8.09321
3551,3334.48,16.0358,0.147716,2716.91,8.09321
3552,3335.29,16.0496,0.145845,2717.19,8.18535
3553,3336.09,16.0642,0.144795,2717.44,7.84219
3554,3336.92,16.0771,0.142565,2717.76,7.48331
3555,3337.73,16.0909,0.142672,2718.05,7.81025
3556,3338.52,16.1065,0.142351,2718.24,7.77817
3557,3339.36,16.1184,0.139645,2718.63,7.34847
3558,3340.14,16.1349,0.140733,2718.76,7.96869
3559,3340.96,16.1482,0.140625,2719.08,7.58288
3560,3341.76,16.1632,0.141058,2719.3,7.77817
3561,3342.56,16.1773,0.141706,2719.58,7.17635
3562,3343.38,16.1909,0.141921,2719.88,8.09321
3563,3344.18,16.2058,0.145111,2720.12,8.24621
3564,3344.99,16.2196,0.149258,2720.41,8.18535
3565,3345.81,16.2331,0.152694,2720.73,8.06226
3566,3346.62,16.2471,0.159918,2721.01,9.24662
3567,3347.46,16.2592,0.166463,2721.4,9.56556
3568,3348.29,16.2716,0.176345,2721.78,9.82344
3569,3349.14,16.283,0.189524,2722.22,10.583
3570,3350.01,16.2923,0.204547,2722.78,11.4237
3571,3350.9,16.3007,0.224805,2723.39,12.4298
3572,3351.81,16.3071,0.247547,2724.11,13.8203
3573,3352.79,16.3084,0.276821,2725.13,15.3786
3574,3353.8,16.3081,0.309211,2726.24,17.6777
3575,3354.89,16.3015,0.346447,2727.7,19.6977
3576,3356.09,16.2867,0.392379,2729.64,22.3495
3577,3357.39,16.2643,0.439865,2732.01,25.0998
3578,3358.83,16.2314,0.492497,2734.97,28.2135
3579,3360.48,16.1837,0.547293,2738.78,31.225
3580,3362.29,16.1237,0.601004,2743.3,34.4891
3581,3364.34,16.0458,0.64959,2748.82,37.1214
3582,3366.52,15.9585,0.689229,2754.89,39.5221
3583,3368.86,15.859,0.715111,2761.65,40.8962
3584,3371.45,15.7416,0.723553,2769.43,41.4729
3585,3373.83,15.6396,0.716219,2776.33,41.0548
3586,3376.16,15.5408,0.694764,2783.05,39.7995
3587,3378.5,15.4414,0.65497,2789.79,37.921
3588,3380.53,15.3652,0.614387,2795.22,35.5106
3589,3382.47,15.2957,0.563516,2800.26,32.8481
3590,3384.21,15.2407,0.517515,2804.48,30.2985
3591,3385.78,15.1989,0.473527,2807.94,27.8657
3592,3387.19,15.1682,0.436872,2810.77,25.8457
3593,3388.56,15.1408,0.402514,2813.41,23.9165
3594,3389.84,15.1198,0.376036,2815.69,22.4277
3595,3391.04,15.1053,0.355662,2817.59,21.6333
3596,3392.2,15.0932,0.341009,2819.37,20.7244
3597,3393.35,15.0825,0.329887,2821.06,20.0375
3598,3394.47,15.0731,0.321478,2822.68,19.8368
3599,3395.57,15.0663,0.316551,2824.15,19.5959
3600,3396.65,15.06,0.312793,2825.59,19.3261
3601,3397.74,15.0536,0.310664,2827.04,19.3003
3602,3398.84,15.0463,0.30894,2828.56,19.2224
3603,3399.9,15.0414,0.307107,2829.91,19.1442
3604,3401,15.0343,0.305962,2831.41,19.352
3605,3402.06,15.0296,0.305188,2832.77,19.0657
3606,3403.14,15.0241,0.304688,2834.16,18.9868
3607,3404.22,15.0175,0.303232,2835.63,18.9868
3608,3405.31,15.0112,0.300756,2837.07,18.9077
3609,3406.36,15.0075,0.299026,2838.36,18.6682
3610,3407.41,15.0037,0.297029,2839.65,18.8547
3611,3408.47,14.9994,0.293047,2840.97,18.1108
3612,3409.52,14.9954,0.28959,2842.28,18.1797
3613,3410.58,14.9913,0.285691,2843.59,17.5926
3614,3411.6,14.9896,0.280544,2844.74,17.5642
3615,3412.65,14.9864,0.275578,2845.99,17.2482
3616,3413.64,14.9867,0.270153,2847.02,16.8967
3617,3414.65,14.9859,0.265223,2848.12,16.4773
3618,3415.67,14.9849,0.260433,2849.23,16.2481
3619,3416.66,14.985,0.254866,2850.27,16.109
3620,3417.65,14.9861,0.249603,2851.25,15.5242
3621,3418.61,14.989,0.2451,2852.12,15
3622,3419.59,14.9903,0.240797,2853.09,15.1327
